,datadate,gvkey1,real roe,prccq,real rd,roe,rd/rev,p/e,epsfxq
315,1978,MRK,0.0488887922499825,66.8113398271323,,,,69.76348923937506,0.9594659947006711
316,1979,MRK,0.04850859246892926,71.88608113398271,,,,65.09653821153199,1.1124059465994702
317,1980,MRK,0.050094727715417495,84.1571886081134,,,,65.93648309525253,1.27995624059466
318,1981,MRK,0.045362669879147804,84.83082821886082,,,,68.72480021229997,1.2350179956240595
319,1982,MRK,0.04468328559353342,83.8746455828219,,,,62.78390078777741,1.3362455017995625
320,1983,MRK,0.04265193442094715,90.94314996455829,,0.04298597611961204,,63.74449745767277,1.42684962455018
321,1984,MRK,0.04088470475065515,92.96255681499646,,0.041543006187342996,,58.23856217023372,1.5971836849624552
322,1985,MRK,0.04548070978332706,134.1597996656815,,0.04565489618393989,,69.9048619916614,1.9189867183684963
323,1986,MRK,0.057681976900349194,121.46324088996657,,0.05768954980311666,,96.4729721586063,1.2588778986718367
324,1987,MRK,0.08763858511199939,162.954457934089,,0.08594463049626053,,95.31280785971586,1.7097118877898672
325,1988,MRK,0.09039564641859098,57.83634526579341,,0.09123380359986037,,74.88308022170469,0.772316971188779
326,1989,MRK,0.09127899764297234,77.23343363452658,0.12276418147748566,0.0923671321405082,,83.45585172137172,0.925952231697119
327,1990,MRK,0.10087369117412234,88.58977334336346,0.12451176526626653,0.10170761890221368,,78.75288776221244,1.12592059522317
328,1991,MRK,0.09613850913451932,162.71018397733437,0.1304723626777302,0.09718206524716803,,121.79547538670876,1.3379085920595224
329,1992,MRK,0.10818831551982791,43.629933518397735,0.12048748606358847,0.10773583969960787,,83.25774996116759,0.523852790859206
330,1993,MRK,0.060379188828614185,34.06070049335184,0.11803519061583577,0.06473442825694332,,61.90764192141817,0.561679385279086
331,1994,MRK,0.06259414632566124,37.816681070049334,0.09427870334495674,0.06260571850444419,,62.00910717310028,0.6098331679385279
332,1995,MRK,0.06117529596348595,64.58676916810701,0.0836076366030283,0.06179102499069523,,94.8812877073925,0.680820983316794
333,1996,MRK,0.07307064779737689,78.64035867691682,0.0783004383936664,0.07304102769550412,,93.8729422237214,0.8375090820983316
334,1997,MRK,0.09002819269598997,105.3988270358677,0.07925097479180372,0.08944102457097838,,104.81992363464339,1.0054917509082097
335,1998,MRK,0.08485593815881938,145.7402831827036,0.07186582920578433,0.08484329061251956,0.0849670300479759,126.10784980199531,1.1553855491750908
336,1999,MRK,0.09419174834302273,67.05118652831827,0.0700403864604949,0.09393256440957161,0.06986785785056186,101.96599893776833,0.6576915385549176
337,2000,MRK,0.08887142756404444,91.71411761865284,0.05775553094451179,0.0898615264715482,0.057754187038478136,121.982580688408,0.7524027691538555
338,2001,MRK,0.08909113541048279,59.56667141176187,0.057047754799767474,0.08973335577627167,0.056304398210505736,73.31488022164517,0.8123342402769155
339,2002,MRK,0.08170765452595899,55.576438667141176,0.13846839559568813,0.08257254603951593,0.13702724937848515,69.35577531217673,0.8036044774537361
340,2003,MRK,0.07157955221736544,46.735609643866724,0.1610598709815002,0.07383639310953746,0.15850807046237653,73.32268079399431,0.6405023457685535
341,2004,MRK,0.055907306893592815,32.36794456096439,0.1928704396388246,0.05677271963759752,0.18895371422593973,63.40495233041428,0.5118310502334189
342,2005,MRK,0.055093043623731776,31.387469794456095,0.19285801002445413,0.05630413264059268,0.19095470003706855,60.796161784095965,0.5210791831050233
343,2006,MRK,0.023735587855232443,43.37371574697945,0.2850713919359375,0.025950683880247898,0.27429476010865594,187.66060950863178,0.2435831079183105
344,2007,MRK,-0.07920296822945502,57.4433903715747,0.22133944160566404,-0.06458850477002404,0.22225376912251826,-62.43433348949868,-0.6043436416892081
345,2008,MRK,0.07770549579299951,30.57950933903716,0.22985876268151978,0.07523431576751077,0.22653273489788772,41.07623253472417,0.7565875656358312
346,2009,MRK,0.1056338486256883,36.0114729509339,0.1953237231881904,0.10790992905200868,0.19680252853910749,16.142273712282645,2.267238658756564
347,2010,MRK,-0.009360091541237568,36.100846147295094,0.3735002521974251,-0.007761933457381271,0.3568451895653883,-158.996238045356,-0.14063227613412432
348,2011,MRK,0.026552868658131817,37.22392908461473,0.19676264844639663,0.0268733087857705,0.19335302493185003,75.15591760728371,0.49664193677238666
349,2012,MRK,0.016353244505345907,41.31858239290846,0.18948624009542472,0.017702407033282276,0.187306738347564,130.78448541934694,0.32617366419367727
350,2013,MRK,0.014925658372510798,49.79177185823929,0.16210247349823323,0.015646341459633825,0.16133165534395286,186.00889423801559,0.2714006173664194
351,2014,MRK,0.14994568670451516,57.022922177185826,0.21780194619347454,0.13712942295107544,0.21168879619488332,38.20666302176202,2.320560140061737
352,2015,MRK,0.021824111510711015,52.552904292217725,0.17591776798825257,0.02340340880932478,0.17345121617172016,145.06378519552294,0.3752890560140062
353,2016,MRK,-0.014761337699712216,59.17126429042922,0.4596144340088977,-0.008536489917457663,0.4300199209991088,-232.29131975947033,-0.12353247109439852
354,2017,MRK,-0.03025832393184645,57.045613126429046,0.22189207322917665,-0.02688863803384671,0.23999722880495664,-417.09754897797524,-0.34591835324710946
355,2018,MRK,0.06796369317759095,75.75462756131265,0.20130932896890344,0.0670272482346129,0.20068754990903792,109.41824455747636,0.6925784081646753
356,1981,MYL,,,,,,,
357,1982,MYL,0.07066453297397456,,,,,,
358,1983,MYL,0.08553860992223762,,,,,,
359,1984,MYL,0.14475041663360053,,,,,,
360,1985,MYL,0.14506296339884667,,,,,,
361,1986,MYL,0.0859106529209622,,,,,,
362,1987,MYL,0.06397581402152845,,,,,,
363,1988,MYL,0.03737435000049713,,,,,,
364,1989,MYL,0.06971380915504345,,0.06302643043857101,,,,
365,1990,MYL,0.056952886493027856,,0.06298084175592096,,,,
366,1991,MYL,0.05356509030170164,40.789473849782986,0.056530214424951264,0.053414788390364405,,153.82042976396667,0.26510772459700344
367,1992,MYL,0.08179718161871503,31.03866644738498,0.062250441840675526,0.0807556371290078,,112.98872366229457,0.2748145107724597
368,1993,MYL,0.0605888813117412,25.75570386664474,0.08277138900596061,0.05959466233346125,,94.85191575548312,0.27396948145107725
369,1994,MYL,0.07073557084554323,26.804575570386667,0.0760230553078037,0.07031956405190992,,67.76857610066646,0.39568539694814514
370,1995,MYL,0.03939495218483499,23.269255457557037,0.1198874275890012,0.041036476369900134,,125.47874114332436,0.18869756853969485
371,1996,MYL,0.027779783643098688,16.681351925545755,0.09453329940955073,0.027681348513791414,,112.20060144554292,0.14883386975685398
372,1997,MYL,0.03069348681473042,21.010435635192557,0.060934085872897,0.031778017778201474,,113.91639845175295,0.18578388338697568
373,1998,MYL,0.007963279457004736,31.30005104356352,0.22167082896962864,0.0117544514574338,,482.413328453032,0.08377257838833872
374,1999,MYL,0.03492101876721912,24.588823755104357,0.06075722126576318,0.03470044971060811,0.06071493558798375,80.12494966617864,0.3067013772578388
375,2000,MYL,0.03436161065543096,25.28458388237551,0.07084815309221548,0.03313665983922998,0.0722012096396565,84.34408344877188,0.2893266701377258
376,2001,MYL,0.058917025841766,36.96476345838824,0.045226807002903865,0.058077670907805926,0.046574370814666435,61.9113282608039,0.5979259326670138
377,2002,MYL,0.04711312326850735,34.66896047634584,0.07158012318483341,0.04702131528077548,0.0706964886969525,62.17798625540341,0.5575467925932668
378,2003,MYL,0.05320598471439305,26.554771896047637,0.0721812765519489,0.05380858576045393,0.0716957378326253,81.04367177828894,0.32855575467925935
379,2004,MYL,0.019156750371620023,17.737362477189603,0.07961934481668341,0.020166448131079,0.07877056438315841,132.0913710338445,0.13617585557546794
380,2005,MYL,0.06347385967730469,19.88828173624772,0.09437872293941127,0.061228101868684146,0.0942424038367395,93.69766887736314,0.21397961758555756
381,2006,MYL,0.12291894491811904,19.97874882817363,0.05705382055500658,0.1187740901230831,0.05751990217917105,34.14844119545917,0.6028143979617585
382,2007,MYL,-0.39781211611893946,14.25225949883875,1.1683067194414847,-0.35026547386780943,1.0585047828474607,0.17827919364383585,-4.476286299087186
383,2007,MYL,-0.39781211611893946,14.079225949883876,1.1683067194414847,-0.3930574518938265,1.1573265257820824,-2.492886366349902,-4.983628629908719
384,2008,MYL,-0.007228235790086938,10.049277922594989,0.06474394404710948,-0.0001134593158964128,0.06311844931430388,-49.443142818814664,-0.12197136286299085
385,2009,MYL,0.01236933255076469,18.15842392779226,0.05370031594513163,0.01130125680667153,0.05376905704962502,1648.2818413396521,-0.0007951971362863059
386,2010,MYL,0.0054895708664128825,20.885514842392777,0.057211611858913804,0.008866645034427176,0.056759090827592854,1908.055523184134,0.0403199204802864
387,2011,MYL,0.03694694848352908,21.08761255148424,0.049683425470290324,0.03765282287252666,0.0501538117126398,69.579793299354,0.305581031992048
388,2012,MYL,0.048263498606007205,27.113996761255148,0.06835808489866234,0.049107538351963756,0.06956153912945666,68.30716824259609,0.40017055810319924
389,2013,MYL,0.0608911023217959,42.80334089967613,0.09334065421232539,0.05980729894359773,0.09048028063826272,96.0987060791431,0.44542301705581033
390,2014,MYL,0.05775335775335775,55.339367334089964,0.08061650741825516,0.06553980747015617,0.0802190867003228,112.80311515569333,0.5395855423017056
391,2015,MYL,0.01992668291384218,52.95608893673341,0.07640422371220942,0.022034094756827598,0.07532883900922942,134.75679591136435,0.4197509585542302
392,2016,MYL,0.03755306900769951,38.201970608893674,0.07482098047616133,0.033036378755462274,0.07394289215248723,31.685957436964188,0.6843389750958555
393,2017,MYL,0.01835793080645646,41.29059119706089,0.08150915434252369,0.017336757500247747,0.07951996220503785,101.35688974198878,0.4335264338975096
394,2018,MYL,0.004208069301641311,28.320442059119706,0.08656251015038816,0.005140568554009178,0.08317614801922894,261.16290123519263,0.12142635264338979
395,1991,PDLI,0.24991896272285252,,0.3020183486238532,,,,
396,1992,PDLI,0.008406029925466534,,0.7773770491803279,,,,
397,1993,PDLI,0.06192168991671052,,0.5715521716559958,,,,
398,1994,PDLI,-0.01130893252846336,,1.3170320404721754,,,,
399,1995,PDLI,-0.015603955483093497,,1.4849986955387424,,,,
400,1996,PDLI,-0.0172579463614655,,1.335,,,,
401,1997,PDLI,-0.09526438255336324,,3.61358574610245,,,,
402,1998,PDLI,-0.03231464159117763,,2.2122932609232286,,,,
403,1999,PDLI,-0.03611079074679956,,1.9211372482653581,,,,
404,2000,PDLI,-9.547987059669302e-05,,1.691635091809968,,1.7099665422876995,,-0.009622847491278194
405,2001,PDLI,-0.009576626441731743,34.60064952745817,1.995815295815296,-0.008842703240144661,1.9449254861460368,,-0.056844962284749126
406,2002,PDLI,-0.014472268827349727,8.513617064952745,1.4685895640810231,-0.014331681674507104,1.5285586395475936,-102.3618343300691,-0.08917768449622848
