,datadate,gvkey1,gvkey2,score,roe_spread,rd/rev_spread,MARKCAP_1,MARKCAP_2
138,2011,REGN,BMY,0.102,-0.167579968,0.884986217,5027057.56,59715307.68
139,2011,LLY,UTHR,0.1004,0.017163399,-0.029720386,48116588.72,2533072.5
140,2011,MYL,LLY,0.0997,-0.027631826,-0.172396277,9156509.88,48116588.72
141,2011,VRTX,LLY,0.0972,0.105881907,0.049775742,6950985.84,48116588.72
142,2011,PFE,GILD,0.095,-0.079377568,-0.020764586,166345965.9,30824628.58
143,2011,PFE,UTHR,0.0936,-0.028440748,-0.094880777,166345965.9,2533072.5
144,2011,MRK,UTHR,0.0934,-0.021247941,-0.058917449,114906621.7,2533072.5
145,2011,ALXN,GILD,0.0893,-0.054896847,-0.024068793,13264608.5,30824628.58
146,2011,VRTX,MYL,0.0886,0.133513733,0.222172018,6950985.84,9156509.88
147,2011,REGN,GILD,0.0853,-0.212443279,0.891268248,5027057.56,30824628.58
148,2011,NEOG,IDXX,0.085,,,720867.28,4240572.96
149,2011,BMRN,MRK,0.0835,-0.060116091,0.341097622,3946480.2,114906621.7
150,2011,MYL,PRGO,0.0812,-0.022062334,0.013938298,9156509.88,9076825.1
151,2011,MRK,ALXN,0.0804,-0.017287914,0.039267536,114906621.7,13264608.5
152,2011,PFE,BMRN,0.08,0.052923285,-0.37706095,166345965.9,3946480.2
153,2011,ALXN,LLY,0.0779,-0.021123426,-0.068464599,13264608.5,48116588.72
154,2011,PRGO,BMRN,0.0773,0.092957939,-0.498235133,9076825.1,3946480.2
155,2011,PRGO,UTHR,0.0765,0.011593907,-0.21605496,9076825.1,2533072.5
156,2011,MYL,MRK,0.0759,0.010779514,-0.143199213,9156509.88,114906621.7
157,2011,REGN,PFE,0.0727,-0.133065711,0.912032834,5027057.56,166345965.9
158,2011,REGN,LLY,0.0726,-0.178669858,0.846872442,5027057.56,48116588.72
159,2011,MRK,VRTX,0.0721,-0.144293247,-0.078972805,114906621.7,6950985.84
160,2011,TECH,IDXX,0.0711,-0.02651984,0.025398108,2518179.66,4240572.96
161,2011,PFE,VRTX,0.0657,-0.151486054,-0.114936133,166345965.9,6950985.84
162,2011,PRGO,BMY,0.0594,0.005520398,-0.148220799,9076825.1,59715307.68
163,2011,MYL,ALXN,0.0566,-0.0065084,-0.103931677,9156509.88,13264608.5
164,2011,PFE,ALXN,0.0495,-0.024480721,0.003304208,166345965.9,13264608.5
165,2011,PRGO,AMGN,0.049,0.01334968,-0.1759888,9076825.1,51085476
166,2011,PRGO,PFE,0.0478,0.040034654,-0.121174183,9076825.1,166345965.9
167,2011,TECH,ALXN,0.0396,-0.000588076,-0.063107561,2518179.66,13264608.5
168,2011,GILD,PRGO,0.0392,0.039342914,0.141938768,30824628.58,9076825.1
169,2011,IART,BMRN,0.0387,0.043626501,-0.468656715,827199.73,3946480.2
170,2011,REGN,TECH,0.0364,-0.156958356,0.978444602,5027057.56,2518179.66
171,2011,UTHR,IART,0.0356,0.037737532,0.186476542,2533072.5,827199.73
172,2011,REGN,MYL,0.0314,-0.151038032,1.019268719,5027057.56,9156509.88
173,2011,PRGO,MRK,0.0296,0.032841848,-0.157137511,9076825.1,114906621.7
174,2011,TECH,NEOG,0.0264,,,2518179.66,720867.28
