date,T-Bill,RMRF,SMB,HML,UMD
201007,0.01,6.93,0.17,-0.26,1.88
201008,0.01,-4.77,-3.00,-1.95,-0.19
201009,0.01,9.54,3.92,-3.13,1.35
201010,0.01,3.88,1.13,-2.60,1.64
201011,0.01,0.60,3.70,-0.90,2.54
201012,0.01,6.82,0.69,3.82,-3.19
201101,0.01,1.99,-2.47,0.82,-0.32
201102,0.01,3.49,1.53,1.10,2.03
201103,0.01,0.45,2.60,-1.58,3.51
201104,0.00,2.90,-0.34,-2.52,0.06
201105,0.00,-1.27,-0.70,-2.08,-0.58
201106,0.00,-1.75,-0.16,-0.32,1.77
201107,0.00,-2.36,-1.35,-1.21,0.02
201108,0.01,-5.99,-3.05,-2.48,-0.33
201109,0.00,-7.59,-3.53,-1.41,-2.57
201110,0.00,11.35,3.42,-0.18,-1.42
201111,0.00,-0.28,-0.17,-0.34,3.98
201112,0.00,0.74,-0.70,1.77,1.95
201201,0.00,5.05,2.15,-1.13,-7.96
201202,0.00,4.42,-1.75,0.08,-0.28
201203,0.00,3.11,-0.62,0.92,1.49
201204,0.00,-0.85,-0.52,-0.48,3.84
201205,0.01,-6.19,0.00,-0.59,6.59
201206,0.00,3.89,0.76,0.44,-0.72
201207,0.00,0.79,-2.61,-0.27,3.16
201208,0.01,2.55,0.40,1.31,-2.48
201209,0.01,2.73,0.49,1.53,-1.04
201210,0.01,-1.76,-1.15,3.79,0.10
201211,0.01,0.78,0.59,-0.97,0.34
201212,0.01,1.18,1.48,3.58,-2.97
201301,0.00,5.57,0.39,0.95,-1.86
201302,0.00,1.29,-0.45,0.03,1.32
201303,0.00,4.03,0.81,-0.30,1.97
201304,0.00,1.55,-2.42,0.62,0.27
201305,0.00,2.80,1.66,2.60,-1.78
201306,0.00,-1.20,1.17,-0.17,0.59
201307,0.00,5.65,1.86,0.56,1.75
201308,0.00,-2.71,0.31,-2.78,0.05
201309,0.00,3.77,2.92,-1.19,2.96
201310,0.00,4.18,-1.51,1.14,0.15
201311,0.00,3.12,1.22,0.24,0.40
201312,0.00,2.81,-0.50,-0.31,0.04
201401,0.00,-3.32,0.85,-2.09,1.70
201402,0.00,4.65,0.34,-0.40,2.07
201403,0.00,0.43,-1.89,5.09,-3.34
201404,0.00,-0.19,-4.24,1.14,-3.86
201405,0.00,2.06,-1.86,-0.27,1.15
201406,0.00,2.61,3.08,-0.74,0.67
201407,0.00,-2.04,-4.25,0.01,-0.25
201408,0.00,4.24,0.36,-0.59,0.80
201409,0.00,-1.97,-3.83,-1.23,0.52
201410,0.00,2.52,4.21,-1.70,0.00
201411,0.00,2.55,-2.09,-3.00,1.06
201412,0.00,-0.06,2.55,2.06,1.09
201501,0.00,-3.11,-0.56,-3.48,3.84
201502,0.00,6.13,0.49,-1.81,-2.83
